what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1487094200433
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487094203386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487094206152
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1487094206199
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487094217683
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1487094220027
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487094220121
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1487094220144
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1487094308503
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1487094327160
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1487094367261
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1487094379800
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1487094399886
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1487094414488
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1487094461878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487095121967
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487095127279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487095127310
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487095128201
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1487095128217
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1487095129810
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487095132170
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487095134404
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1487095134576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487095135951
